subscription_id,customer_id,plan_id,billing_cycle,subscription_start,subscription_end,subscription_status,discount_percent,created_at
121,121,1,Monthly,2023-10-06,,Active,10,2026-07-25 00:18:29.044249
122,122,1,Monthly,2024-03-02,,Active,15,2026-07-25 00:18:29.044261
123,123,2,Monthly,2024-03-29,,Active,15,2026-07-25 00:18:29.044272
124,124,1,Monthly,2023-06-09,,Active,0,2026-07-25 00:18:29.044283
125,125,1,Monthly,2025-01-13,,Active,15,2026-07-25 00:18:29.044294
126,126,1,Monthly,2024-01-28,2025-03-15,Expired,0,2026-07-25 00:18:29.044309
127,127,1,Monthly,2025-02-02,,Active,10,2026-07-25 00:18:29.044320
128,128,1,Monthly,2023-03-25,,Active,0,2026-07-25 00:18:29.044331
129,129,2,Monthly,2024-04-16,,Active,10,2026-07-25 00:18:29.044341
130,130,3,Annual,2025-05-16,,Active,0,2026-07-25 00:18:29.044354
131,131,2,Monthly,2023-12-17,,Active,5,2026-07-25 00:18:29.044365
132,132,3,Monthly,2025-07-03,,Active,5,2026-07-25 00:18:29.044376
133,133,1,Monthly,2025-08-05,2025-11-06,Cancelled,10,2026-07-25 00:18:29.044391
134,134,1,Monthly,2024-02-16,,Active,10,2026-07-25 00:18:29.044401
135,135,1,Annual,2023-09-01,2024-05-01,Cancelled,10,2026-07-25 00:18:29.044415
136,136,1,Monthly,2025-07-11,,Active,0,2026-07-25 00:18:29.044426
137,137,1,Monthly,2024-03-15,,Active,0,2026-07-25 00:18:29.044437
138,138,1,Monthly,2024-02-15,,Active,15,2026-07-25 00:18:29.044447
139,139,2,Monthly,2023-06-28,,Active,5,2026-07-25 00:18:29.044458
140,140,1,Monthly,2023-08-09,,Active,15,2026-07-25 00:18:29.044468
141,141,1,Monthly,2025-07-13,,Active,5,2026-07-25 00:18:29.044479
142,142,1,Monthly,2024-12-29,,Active,0,2026-07-25 00:18:29.044489
143,143,4,Monthly,2025-04-18,2027-02-03,Cancelled,15,2026-07-25 00:18:29.044503
144,144,2,Monthly,2024-11-02,,Active,15,2026-07-25 00:18:29.044514
145,145,4,Monthly,2025-11-13,2027-07-01,Cancelled,0,2026-07-25 00:18:29.044528
146,146,1,Annual,2024-02-23,,Active,0,2026-07-25 00:18:29.044539
147,147,2,Monthly,2025-10-09,,Active,5,2026-07-25 00:18:29.044550
148,148,3,Monthly,2025-06-28,,Active,15,2026-07-25 00:18:29.044560
149,149,1,Monthly,2023-05-22,,Active,10,2026-07-25 00:18:29.044572
150,150,3,Annual,2025-11-07,,Active,15,2026-07-25 00:18:29.044584
151,151,3,Monthly,2024-10-01,2026-09-27,Cancelled,10,2026-07-25 00:18:29.044598
152,152,2,Annual,2025-05-04,,Active,0,2026-07-25 00:18:29.044609
153,153,1,Monthly,2024-01-28,,Active,10,2026-07-25 00:18:29.044620
154,154,1,Monthly,2025-03-10,,Active,15,2026-07-25 00:18:29.044631
155,155,1,Monthly,2024-12-18,,Active,15,2026-07-25 00:18:29.044642
156,156,1,Monthly,2025-08-25,,Active,5,2026-07-25 00:18:29.044652
157,157,2,Monthly,2023-11-13,,Active,15,2026-07-25 00:18:29.044663
158,158,1,Monthly,2024-11-11,,Active,10,2026-07-25 00:18:29.044674
159,159,3,Annual,2024-01-07,,Active,10,2026-07-25 00:18:29.044684
160,160,1,Annual,2023-05-25,,Active,0,2026-07-25 00:18:29.044695
161,161,3,Monthly,2024-12-17,,Active,10,2026-07-25 00:18:29.044705
162,162,1,Monthly,2025-02-13,2026-05-27,Expired,0,2026-07-25 00:18:29.044720
163,163,1,Monthly,2025-01-19,,Active,15,2026-07-25 00:18:29.044730
164,164,2,Monthly,2024-08-18,,Active,5,2026-07-25 00:18:29.044741
165,165,3,Annual,2023-08-01,,Active,10,2026-07-25 00:18:29.044752
166,166,1,Annual,2024-06-11,2024-10-09,Cancelled,0,2026-07-25 00:18:29.044767
167,167,1,Monthly,2025-06-30,,Active,5,2026-07-25 00:18:29.044777
168,168,1,Monthly,2025-04-16,,Active,10,2026-07-25 00:18:29.044788
169,169,1,Monthly,2025-04-24,,Active,5,2026-07-25 00:18:29.044799
170,170,1,Monthly,2023-10-21,,Active,15,2026-07-25 00:18:29.044809
171,171,1,Annual,2024-09-30,,Active,5,2026-07-25 00:18:29.044820
172,172,4,Monthly,2024-08-15,2025-07-08,Cancelled,0,2026-07-25 00:18:29.044834
173,173,1,Monthly,2025-10-09,,Active,15,2026-07-25 00:18:29.044845
174,174,2,Monthly,2023-07-16,,Active,5,2026-07-25 00:18:29.044858
175,175,1,Monthly,2024-11-14,,Active,0,2026-07-25 00:18:29.044869
176,176,1,Monthly,2023-01-24,,Active,0,2026-07-25 00:18:29.044880
177,177,2,Monthly,2023-04-27,,Active,0,2026-07-25 00:18:29.044891
178,178,3,Monthly,2025-08-26,,Active,0,2026-07-25 00:18:29.044902
179,179,2,Monthly,2025-11-13,,Active,5,2026-07-25 00:18:29.044913
180,180,1,Monthly,2025-01-28,,Active,15,2026-07-25 00:18:29.044923
181,181,2,Monthly,2024-03-22,,Active,10,2026-07-25 00:18:29.044934
182,182,3,Monthly,2023-06-02,,Active,15,2026-07-25 00:18:29.044946
183,183,1,Monthly,2024-04-10,,Active,10,2026-07-25 00:18:29.044957
184,184,2,Monthly,2024-03-31,,Active,5,2026-07-25 00:18:29.044968
185,185,1,Monthly,2025-04-05,,Active,10,2026-07-25 00:18:29.044979
186,186,2,Annual,2023-09-22,,Active,5,2026-07-25 00:18:29.044992
187,187,3,Annual,2025-08-20,,Active,5,2026-07-25 00:18:29.045003
188,188,1,Annual,2024-12-17,,Active,15,2026-07-25 00:18:29.045014
189,189,2,Monthly,2024-12-23,2025-03-19,Expired,0,2026-07-25 00:18:29.045028
190,190,4,Monthly,2024-11-17,,Active,0,2026-07-25 00:18:29.045039
191,191,1,Annual,2024-10-21,,Active,15,2026-07-25 00:18:29.045049
192,192,1,Monthly,2024-08-20,,Active,5,2026-07-25 00:18:29.045060
193,193,1,Monthly,2024-07-11,,Active,10,2026-07-25 00:18:29.045072
194,194,2,Monthly,2025-10-19,2027-05-04,Cancelled,0,2026-07-25 00:18:29.045087
195,195,3,Annual,2025-12-01,2026-01-03,Expired,15,2026-07-25 00:18:29.045102
196,196,3,Monthly,2024-03-20,,Active,15,2026-07-25 00:18:29.045113
197,197,1,Annual,2023-12-07,,Active,5,2026-07-25 00:18:29.045124
198,198,1,Monthly,2025-10-21,,Active,5,2026-07-25 00:18:29.045135
199,199,1,Monthly,2025-10-01,,Active,15,2026-07-25 00:18:29.045145
200,200,2,Monthly,2023-02-21,,Active,5,2026-07-25 00:18:29.045156
201,201,1,Monthly,2024-05-22,,Active,5,2026-07-25 00:18:29.045167
202,202,2,Monthly,2024-07-22,,Active,10,2026-07-25 00:18:29.045180
203,203,4,Monthly,2025-01-18,,Active,5,2026-07-25 00:18:29.045190
204,204,2,Monthly,2023-06-28,,Active,10,2026-07-25 00:18:29.045201
205,205,3,Annual,2023-12-17,,Active,0,2026-07-25 00:18:29.045212
206,206,3,Monthly,2025-05-15,,Active,0,2026-07-25 00:18:29.045222
207,207,1,Monthly,2024-02-15,2025-06-03,Cancelled,15,2026-07-25 00:18:29.045237
208,208,1,Annual,2024-02-12,,Active,15,2026-07-25 00:18:29.045248
209,209,1,Monthly,2025-11-14,,Active,10,2026-07-25 00:18:29.045259
210,210,3,Monthly,2025-05-22,2025-07-17,Cancelled,0,2026-07-25 00:18:29.045297
211,211,1,Monthly,2023-04-09,,Active,0,2026-07-25 00:18:29.045310
212,212,1,Annual,2024-09-26,,Active,10,2026-07-25 00:18:29.045321
213,213,1,Monthly,2024-04-17,,Active,5,2026-07-25 00:18:29.045332
214,214,3,Monthly,2025-04-15,2027-03-03,Expired,5,2026-07-25 00:18:29.045348
215,215,1,Monthly,2025-11-07,,Active,10,2026-07-25 00:18:29.045358
216,216,1,Monthly,2023-08-29,,Active,10,2026-07-25 00:18:29.045369
217,217,1,Annual,2025-08-14,,Active,5,2026-07-25 00:18:29.045380
218,218,2,Monthly,2025-12-08,,Active,5,2026-07-25 00:18:29.045391
219,219,2,Monthly,2024-01-02,,Active,0,2026-07-25 00:18:29.045402
220,220,2,Monthly,2025-04-25,,Active,15,2026-07-25 00:18:29.045413
221,221,3,Monthly,2023-07-09,2024-01-19,Expired,0,2026-07-25 00:18:29.045428
222,222,2,Monthly,2025-09-20,,Active,10,2026-07-25 00:18:29.045439
223,223,1,Monthly,2023-07-15,,Active,5,2026-07-25 00:18:29.045450
224,224,1,Annual,2025-06-29,,Active,10,2026-07-25 00:18:29.045461
225,225,2,Monthly,2024-05-25,,Active,15,2026-07-25 00:18:29.045471
226,226,1,Monthly,2023-01-05,,Active,0,2026-07-25 00:18:29.045481
227,227,1,Monthly,2023-07-21,2024-02-04,Expired,0,2026-07-25 00:18:29.045496
228,228,2,Monthly,2023-02-10,,Active,15,2026-07-25 00:18:29.045506
229,229,1,Monthly,2025-07-03,,Active,5,2026-07-25 00:18:29.045517
230,230,1,Annual,2023-07-16,,Active,15,2026-07-25 00:18:29.045528
231,231,1,Monthly,2024-11-27,,Active,10,2026-07-25 00:18:29.045539
232,232,1,Monthly,2025-02-21,,Active,5,2026-07-25 00:18:29.045549
233,233,3,Monthly,2025-10-20,,Active,15,2026-07-25 00:18:29.045560
234,234,1,Annual,2025-01-14,,Active,15,2026-07-25 00:18:29.045574
235,235,1,Monthly,2024-11-20,2025-08-19,Expired,10,2026-07-25 00:18:29.045588
236,236,3,Monthly,2025-08-02,,Active,5,2026-07-25 00:18:29.045599
237,237,3,Monthly,2025-08-27,,Active,5,2026-07-25 00:18:29.045609
238,238,3,Annual,2025-07-17,,Active,0,2026-07-25 00:18:29.045620
239,239,3,Monthly,2025-12-26,2027-09-20,Cancelled,5,2026-07-25 00:18:29.045634
240,240,1,Monthly,2025-05-06,,Active,15,2026-07-25 00:18:29.045644
241,241,1,Monthly,2024-10-04,,Active,15,2026-07-25 00:18:29.045655
242,242,2,Monthly,2023-05-28,,Active,15,2026-07-25 00:18:29.045665
243,243,3,Annual,2024-08-04,,Active,5,2026-07-25 00:18:29.045676
244,244,3,Monthly,2023-04-15,2023-11-12,Cancelled,10,2026-07-25 00:18:29.045690
245,245,1,Monthly,2024-11-01,,Active,15,2026-07-25 00:18:29.045700
246,246,4,Monthly,2023-07-22,,Active,15,2026-07-25 00:18:29.045711
247,247,1,Monthly,2025-11-06,2026-04-06,Expired,0,2026-07-25 00:18:29.045728
248,248,1,Annual,2024-10-19,2025-07-17,Expired,5,2026-07-25 00:18:29.045745
249,249,3,Monthly,2023-06-10,,Active,15,2026-07-25 00:18:29.045757
250,250,1,Annual,2023-06-18,,Active,5,2026-07-25 00:18:29.045769
251,251,1,Monthly,2024-03-08,,Active,0,2026-07-25 00:18:29.045781
252,252,4,Monthly,2025-08-23,,Active,0,2026-07-25 00:18:29.045793
253,253,2,Monthly,2025-10-18,,Active,0,2026-07-25 00:18:29.045805
254,254,2,Monthly,2024-04-24,,Active,0,2026-07-25 00:18:29.045817
255,255,1,Monthly,2023-08-11,,Active,5,2026-07-25 00:18:29.045827
256,256,1,Monthly,2023-02-17,,Active,0,2026-07-25 00:18:29.045838
257,257,2,Monthly,2024-08-07,,Active,5,2026-07-25 00:18:29.045850
258,258,1,Monthly,2024-04-29,,Active,0,2026-07-25 00:18:29.045861
259,259,4,Annual,2023-03-23,,Active,10,2026-07-25 00:18:29.045872
260,260,2,Monthly,2023-03-19,2023-12-09,Expired,15,2026-07-25 00:18:29.045888
261,261,4,Monthly,2025-08-01,,Active,10,2026-07-25 00:18:29.045899
262,262,2,Monthly,2025-03-06,,Active,0,2026-07-25 00:18:29.045913
263,263,2,Monthly,2024-03-16,,Active,15,2026-07-25 00:18:29.045924
264,264,4,Monthly,2023-03-12,,Active,15,2026-07-25 00:18:29.045936
265,265,1,Annual,2023-03-27,2023-12-22,Expired,15,2026-07-25 00:18:29.045952
266,266,1,Monthly,2023-08-02,,Active,5,2026-07-25 00:18:29.045963
267,267,1,Monthly,2025-02-11,,Active,0,2026-07-25 00:18:29.045974
268,268,4,Monthly,2023-12-24,,Active,15,2026-07-25 00:18:29.045985
269,269,1,Monthly,2024-09-08,,Active,5,2026-07-25 00:18:29.045995
270,270,3,Monthly,2024-05-01,,Active,15,2026-07-25 00:18:29.046008
271,271,2,Annual,2024-03-25,,Active,10,2026-07-25 00:18:29.046019
272,272,1,Annual,2023-09-24,,Active,0,2026-07-25 00:18:29.046030
273,273,2,Monthly,2024-11-09,,Active,0,2026-07-25 00:18:29.046041
274,274,1,Monthly,2024-09-14,,Active,5,2026-07-25 00:18:29.046051
275,275,1,Annual,2023-12-11,,Active,10,2026-07-25 00:18:29.046062
276,276,2,Monthly,2025-09-10,,Active,10,2026-07-25 00:18:29.046073
277,277,2,Monthly,2024-06-26,,Active,0,2026-07-25 00:18:29.046083
278,278,1,Monthly,2023-08-18,2024-03-15,Cancelled,10,2026-07-25 00:18:29.046098
279,279,3,Monthly,2023-11-03,,Active,15,2026-07-25 00:18:29.046109
280,280,1,Monthly,2023-04-28,,Active,10,2026-07-25 00:18:29.046120
281,281,1,Annual,2025-02-06,,Active,10,2026-07-25 00:18:29.046131
282,282,2,Annual,2024-11-28,2025-08-12,Cancelled,5,2026-07-25 00:18:29.046145
283,283,1,Annual,2025-08-28,2027-05-06,Cancelled,10,2026-07-25 00:18:29.046159
284,284,1,Monthly,2023-08-23,,Active,10,2026-07-25 00:18:29.046170
285,285,1,Monthly,2024-04-15,,Active,15,2026-07-25 00:18:29.046181
286,286,1,Monthly,2023-04-26,2024-06-27,Expired,5,2026-07-25 00:18:29.046195
287,287,1,Annual,2024-07-26,,Active,5,2026-07-25 00:18:29.046205
288,288,1,Monthly,2023-05-21,,Active,0,2026-07-25 00:18:29.046216
289,289,1,Monthly,2023-03-05,2024-09-01,Expired,15,2026-07-25 00:18:29.046230
290,290,1,Monthly,2023-10-20,,Active,10,2026-07-25 00:18:29.046241
291,291,4,Monthly,2023-04-07,2024-11-29,Expired,10,2026-07-25 00:18:29.046255
292,292,2,Monthly,2024-06-17,,Active,10,2026-07-25 00:18:29.046265
293,293,1,Monthly,2024-11-11,,Active,0,2026-07-25 00:18:29.046277
294,294,3,Monthly,2024-07-19,2026-03-31,Cancelled,0,2026-07-25 00:18:29.046291
295,295,3,Monthly,2024-06-09,,Active,5,2026-07-25 00:18:29.046302
296,296,1,Monthly,2023-04-13,,Active,10,2026-07-25 00:18:29.046314
297,297,2,Monthly,2024-03-17,,Active,15,2026-07-25 00:18:29.046325
298,298,1,Monthly,2025-07-25,,Active,10,2026-07-25 00:18:29.046336
299,299,3,Monthly,2025-10-27,,Active,5,2026-07-25 00:18:29.046346
300,300,1,Monthly,2025-10-16,2027-01-18,Cancelled,0,2026-07-25 00:18:29.046361
301,301,1,Annual,2023-05-12,,Active,0,2026-07-25 00:18:29.046372
302,302,1,Annual,2024-05-25,,Active,5,2026-07-25 00:18:29.046383
303,303,2,Monthly,2025-11-30,,Active,0,2026-07-25 00:18:29.046393
304,304,1,Monthly,2023-01-29,,Active,0,2026-07-25 00:18:29.046404
305,305,2,Monthly,2024-06-14,,Active,5,2026-07-25 00:18:29.046415
306,306,2,Monthly,2023-08-29,,Active,5,2026-07-25 00:18:29.046424
307,307,3,Annual,2025-02-27,,Active,10,2026-07-25 00:18:29.046433
308,308,1,Monthly,2024-06-07,2025-06-10,Cancelled,15,2026-07-25 00:18:29.046447
309,309,1,Monthly,2025-12-12,2027-08-31,Expired,15,2026-07-25 00:18:29.046463
310,310,1,Annual,2024-09-30,,Active,5,2026-07-25 00:18:29.046485
311,311,1,Monthly,2024-11-21,,Active,10,2026-07-25 00:18:29.046495
312,312,1,Monthly,2025-04-09,,Active,10,2026-07-25 00:18:29.046511
313,313,2,Monthly,2023-10-29,,Active,10,2026-07-25 00:18:29.046526
314,314,1,Annual,2024-11-15,,Active,0,2026-07-25 00:18:29.046536
315,315,4,Monthly,2025-02-20,,Active,10,2026-07-25 00:18:29.046546
316,316,1,Annual,2025-07-28,2025-09-02,Expired,0,2026-07-25 00:18:29.046566
317,317,1,Monthly,2025-09-23,,Active,5,2026-07-25 00:18:29.046583
318,318,1,Monthly,2023-06-09,,Active,0,2026-07-25 00:18:29.046596
319,319,2,Monthly,2023-09-07,2023-12-16,Cancelled,10,2026-07-25 00:18:29.046612
320,320,1,Monthly,2024-11-10,,Active,15,2026-07-25 00:18:29.046624
321,321,2,Monthly,2024-12-01,,Active,10,2026-07-25 00:18:29.046635
322,322,1,Monthly,2024-09-07,,Active,15,2026-07-25 00:18:29.046645
323,323,2,Monthly,2023-12-15,2025-05-30,Expired,5,2026-07-25 00:18:29.046658
324,324,1,Monthly,2025-10-06,2027-01-30,Cancelled,10,2026-07-25 00:18:29.046679
325,325,2,Monthly,2024-03-21,,Active,10,2026-07-25 00:18:29.046690
326,326,3,Annual,2024-12-29,2025-07-18,Expired,10,2026-07-25 00:18:29.046706
327,327,1,Monthly,2023-01-30,2024-08-20,Expired,5,2026-07-25 00:18:29.046721
328,328,2,Monthly,2025-08-03,,Active,5,2026-07-25 00:18:29.046732
329,329,1,Monthly,2023-07-09,,Active,5,2026-07-25 00:18:29.046742
330,330,3,Monthly,2025-08-25,,Active,0,2026-07-25 00:18:29.046752
331,331,1,Annual,2025-02-15,,Active,5,2026-07-25 00:18:29.046762
332,332,1,Monthly,2023-08-12,,Active,15,2026-07-25 00:18:29.046772
333,333,1,Monthly,2024-01-09,,Active,15,2026-07-25 00:18:29.046782
334,334,1,Monthly,2024-07-14,,Active,5,2026-07-25 00:18:29.046792
335,335,3,Monthly,2025-02-27,,Active,10,2026-07-25 00:18:29.046803
336,336,2,Monthly,2025-09-14,,Active,5,2026-07-25 00:18:29.046812
337,337,3,Monthly,2023-01-26,2024-01-24,Expired,0,2026-07-25 00:18:29.046827
