customer_id,company_name,industry,region,acquisition_channel,signup_date,manager_id,created_at
90,Gonzalez Inc,SaaS,Singapore,Outbound Sales,2023-02-18,10,2026-07-25 00:18:26.953857
91,Allen Group,Finance,USA,Paid Ads,2025-08-23,4,2026-07-25 00:18:26.954055
92,Elliott and Sons,Finance,Singapore,Outbound Sales,2025-11-05,5,2026-07-25 00:18:26.954305
93,"Scott, Wood and Obrien",Education,Canada,Outbound Sales,2024-12-23,7,2026-07-25 00:18:26.954772
94,Oconnell Inc,Manufacturing,USA,Social Media,2023-06-27,9,2026-07-25 00:18:26.954974
95,Hickman PLC,Consulting,Germany,Paid Ads,2025-06-17,2,2026-07-25 00:18:26.955193
96,Sanders-Espinoza,Finance,Singapore,Partner,2025-11-18,9,2026-07-25 00:18:26.955536
97,"Vaughn, Burton and Garcia",SaaS,India,Paid Ads,2023-04-29,5,2026-07-25 00:18:26.956097
98,"Burke, Martinez and Riggs",Education,USA,Social Media,2024-04-13,15,2026-07-25 00:18:26.956570
99,Patel-Stanley,Consulting,Singapore,Partner,2023-03-05,18,2026-07-25 00:18:26.956895
100,"Holland, Smith and Fisher",SaaS,India,Organic,2023-04-18,5,2026-07-25 00:18:26.957412
101,Hamilton LLC,Consulting,India,Paid Ads,2025-01-31,19,2026-07-25 00:18:26.957619
102,Zimmerman-Graham,Consulting,USA,Partner,2025-09-14,5,2026-07-25 00:18:26.957986
103,"Nelson, Morton and Medina",SaaS,Canada,Paid Ads,2025-03-21,2,2026-07-25 00:18:26.958455
104,Graham-Simon,Manufacturing,USA,Social Media,2025-01-21,8,2026-07-25 00:18:26.958834
105,Christian-Rivas,Finance,Canada,Outbound Sales,2024-02-21,14,2026-07-25 00:18:26.959184
106,Keith-Sanchez,E-Commerce,Singapore,Referral,2023-05-15,8,2026-07-25 00:18:26.959514
107,"Bishop, Gray and Johnson",Healthcare,United Kingdom,Referral,2024-12-22,14,2026-07-25 00:18:26.960092
108,Freeman LLC,SaaS,USA,Social Media,2024-05-19,11,2026-07-25 00:18:26.960537
109,Ramirez-Carlson,Marketing,United Kingdom,Social Media,2024-02-06,8,2026-07-25 00:18:26.961844
110,"Smith, Vaughan and Miller",Education,USA,Social Media,2024-03-05,4,2026-07-25 00:18:26.962485
111,Peters-Allen,Marketing,United Kingdom,Organic,2024-09-23,16,2026-07-25 00:18:26.963362
112,"Joseph, West and Smith",Retail,USA,Partner,2025-01-09,12,2026-07-25 00:18:26.964110
113,Sullivan and Sons,Education,United Kingdom,Referral,2024-04-02,8,2026-07-25 00:18:26.964731
114,"Perkins, Kennedy and Schmidt",SaaS,Singapore,Referral,2024-04-20,13,2026-07-25 00:18:26.965330
115,"Pierce, Bell and Chavez",Manufacturing,Canada,Organic,2024-10-22,9,2026-07-25 00:18:26.965848
116,Hall-Griffith,Manufacturing,Singapore,Outbound Sales,2024-04-21,13,2026-07-25 00:18:26.966978
117,Newton Ltd,Consulting,Canada,Organic,2024-05-05,4,2026-07-25 00:18:26.967343
118,Robinson Group,Education,USA,Outbound Sales,2023-10-15,9,2026-07-25 00:18:26.967595
119,"Lawrence, Wolf and Carlson",SaaS,India,Outbound Sales,2024-03-05,14,2026-07-25 00:18:26.968509
120,Phillips LLC,Manufacturing,Singapore,Paid Ads,2023-06-06,14,2026-07-25 00:18:26.968812
121,Smith-Ferguson,E-Commerce,Australia,Organic,2023-10-06,13,2026-07-25 00:18:26.969200
122,Mccann PLC,E-Commerce,USA,Paid Ads,2024-03-02,2,2026-07-25 00:18:26.969440
123,"Raymond, Little and Mullins",Marketing,India,Outbound Sales,2024-03-29,18,2026-07-25 00:18:26.969949
124,Andrews Group,Retail,Canada,Partner,2023-06-09,3,2026-07-25 00:18:26.970198
125,Peterson-Sheppard,Manufacturing,Australia,Paid Ads,2025-01-13,4,2026-07-25 00:18:26.970532
126,Wilson-Jones,Education,Australia,Paid Ads,2024-01-28,14,2026-07-25 00:18:26.970863
127,Ray Ltd,Manufacturing,Germany,Social Media,2025-02-02,10,2026-07-25 00:18:26.971062
128,Hernandez PLC,Consulting,USA,Referral,2023-03-25,14,2026-07-25 00:18:26.971256
129,Mcknight Inc,Marketing,Singapore,Social Media,2024-04-16,6,2026-07-25 00:18:26.971452
130,Obrien-Gibbs,E-Commerce,Australia,Paid Ads,2025-05-16,13,2026-07-25 00:18:26.971777
131,"James, Kerr and Evans",Consulting,United Kingdom,Organic,2023-12-17,10,2026-07-25 00:18:26.972284
132,Torres-Oliver,Education,USA,Partner,2025-07-03,19,2026-07-25 00:18:26.972625
133,"Garcia, Farmer and Garrett",E-Commerce,Singapore,Paid Ads,2025-08-05,15,2026-07-25 00:18:26.973137
134,"Miller, Allen and Arnold",Logistics,Germany,Social Media,2024-02-16,7,2026-07-25 00:18:26.973608
135,Ortiz Ltd,Consulting,Germany,Social Media,2023-09-01,6,2026-07-25 00:18:26.973835
136,Carter-Hall,Finance,Canada,Outbound Sales,2025-07-11,20,2026-07-25 00:18:26.974230
137,"Heath, Jones and Hall",Manufacturing,India,Referral,2024-03-15,10,2026-07-25 00:18:26.974720
138,"Lawrence, Lara and Gonzalez",Retail,United Kingdom,Referral,2024-02-15,5,2026-07-25 00:18:26.975211
139,"Walker, Hernandez and Baker",SaaS,India,Referral,2023-06-28,16,2026-07-25 00:18:26.975688
140,Brown LLC,E-Commerce,United Kingdom,Organic,2023-08-09,15,2026-07-25 00:18:26.975893
141,"Holloway, Morse and Gonzales",Marketing,Singapore,Outbound Sales,2025-07-13,7,2026-07-25 00:18:26.976407
142,"Torres, Powell and Nelson",Marketing,Germany,Partner,2024-12-29,8,2026-07-25 00:18:26.976888
143,Kim-George,Healthcare,Singapore,Social Media,2025-04-18,1,2026-07-25 00:18:26.977218
144,"Morris, Wright and Davis",Finance,United Kingdom,Partner,2024-11-02,8,2026-07-25 00:18:26.977680
145,"Matthews, Smith and Hubbard",Healthcare,United Kingdom,Social Media,2025-11-13,17,2026-07-25 00:18:26.978238
146,"Williams, Avila and Ruiz",Logistics,India,Outbound Sales,2024-02-23,8,2026-07-25 00:18:26.978720
147,Moon-White,Finance,Germany,Referral,2025-10-09,15,2026-07-25 00:18:26.979050
148,Walters-Vasquez,Consulting,Australia,Outbound Sales,2025-06-28,11,2026-07-25 00:18:26.979388
149,Bailey-Cook,Logistics,Australia,Social Media,2023-05-22,17,2026-07-25 00:18:26.979717
150,Hodge LLC,Marketing,United Kingdom,Outbound Sales,2025-11-07,15,2026-07-25 00:18:26.979914
151,"Simpson, Bates and Morales",Healthcare,Singapore,Partner,2024-10-01,15,2026-07-25 00:18:26.980684
152,Gibson LLC,Education,United Kingdom,Referral,2025-05-04,9,2026-07-25 00:18:26.980909
153,Wilson-Barton,Consulting,Germany,Social Media,2024-01-28,8,2026-07-25 00:18:26.981215
154,Sandoval PLC,Education,Germany,Organic,2025-03-10,10,2026-07-25 00:18:26.981378
155,Brown-Stone,Retail,Canada,Paid Ads,2024-12-18,11,2026-07-25 00:18:26.981645
156,Garrett-Wolf,Consulting,India,Referral,2025-08-25,5,2026-07-25 00:18:26.981957
157,Dunn-Pennington,Retail,Germany,Social Media,2023-11-13,5,2026-07-25 00:18:26.982260
158,"Washington, Johnson and Mccoy",Retail,India,Partner,2024-11-11,14,2026-07-25 00:18:26.982994
159,"Moore, Pierce and Tran",Manufacturing,Australia,Partner,2024-01-07,14,2026-07-25 00:18:26.983635
160,Gay Inc,SaaS,USA,Partner,2023-05-25,13,2026-07-25 00:18:26.983837
161,Holland and Sons,E-Commerce,Singapore,Organic,2024-12-17,19,2026-07-25 00:18:26.984057
162,"Carter, Thornton and Perry",Marketing,Germany,Organic,2025-02-13,12,2026-07-25 00:18:26.984593
163,Sanchez-Arnold,Education,United Kingdom,Partner,2025-01-19,14,2026-07-25 00:18:26.984935
164,Weeks PLC,Consulting,Singapore,Social Media,2024-08-18,18,2026-07-25 00:18:26.985141
165,Hill Group,E-Commerce,USA,Partner,2023-08-01,8,2026-07-25 00:18:26.985338
166,"Adams, Smith and Barber",Education,Germany,Partner,2024-06-11,1,2026-07-25 00:18:26.985838
167,"Duarte, Burns and Hernandez",Marketing,Canada,Social Media,2025-06-30,13,2026-07-25 00:18:26.986321
168,Reed-Arnold,Healthcare,United Kingdom,Partner,2025-04-16,5,2026-07-25 00:18:26.986651
169,Gibson-Morris,E-Commerce,Australia,Organic,2025-04-24,13,2026-07-25 00:18:26.987034
170,"Allen, Reyes and Chase",E-Commerce,Australia,Social Media,2023-10-21,1,2026-07-25 00:18:26.987539
171,Flores Group,Finance,Singapore,Partner,2024-09-30,5,2026-07-25 00:18:26.987733
172,Mcneil-Sparks,Logistics,USA,Organic,2024-08-15,9,2026-07-25 00:18:26.988084
173,Simpson Inc,Marketing,Canada,Referral,2025-10-09,15,2026-07-25 00:18:26.988289
174,"Sanford, Rivera and Garcia",Manufacturing,Canada,Partner,2023-07-16,9,2026-07-25 00:18:26.988804
175,Fox Group,Marketing,Canada,Organic,2024-11-14,16,2026-07-25 00:18:26.989056
176,"Thomas, Pitts and Booker",SaaS,Singapore,Outbound Sales,2023-01-24,2,2026-07-25 00:18:26.989517
177,Harrington-Baker,Manufacturing,USA,Social Media,2023-04-27,3,2026-07-25 00:18:26.989845
178,"Sanders, Miller and Murphy",SaaS,United Kingdom,Organic,2025-08-26,8,2026-07-25 00:18:26.990376
179,"James, Stewart and Higgins",Retail,United Kingdom,Organic,2025-11-13,20,2026-07-25 00:18:26.990842
180,"Johnson, Jones and Welch",Healthcare,USA,Referral,2025-01-28,16,2026-07-25 00:18:26.991368
181,Francis Group,Finance,Australia,Referral,2024-03-22,15,2026-07-25 00:18:26.991579
182,"Padilla, Garcia and Jackson",Education,United Kingdom,Paid Ads,2023-06-02,6,2026-07-25 00:18:26.992073
183,Williams Inc,E-Commerce,Australia,Social Media,2024-04-10,4,2026-07-25 00:18:26.992288
184,Brooks-Thomas,Healthcare,Canada,Organic,2024-03-31,19,2026-07-25 00:18:26.992614
185,Knight-Sparks,SaaS,Canada,Outbound Sales,2025-04-05,13,2026-07-25 00:18:26.992989
186,Miller Group,Marketing,Singapore,Referral,2023-09-22,3,2026-07-25 00:18:26.993195
187,"Allen, Durham and Thomas",E-Commerce,Singapore,Social Media,2025-08-20,8,2026-07-25 00:18:26.993668
188,"King, Scott and Smith",Finance,Singapore,Paid Ads,2024-12-17,20,2026-07-25 00:18:26.994175
189,Byrd-Moore,Finance,United Kingdom,Outbound Sales,2024-12-23,2,2026-07-25 00:18:26.994545
190,Huerta-Evans,Manufacturing,Australia,Partner,2024-11-17,12,2026-07-25 00:18:26.994909
191,"Wright, Bruce and Gonzalez",Finance,Australia,Social Media,2024-10-21,11,2026-07-25 00:18:26.995955
192,Rodriguez-James,SaaS,United Kingdom,Partner,2024-08-20,16,2026-07-25 00:18:26.996815
193,"Phillips, Lyons and Johnson",Finance,Germany,Paid Ads,2024-07-11,15,2026-07-25 00:18:26.997512
194,Hill-Knight,Healthcare,Germany,Referral,2025-10-19,17,2026-07-25 00:18:26.998029
195,"Beltran, Lozano and Mcgee",Education,Australia,Outbound Sales,2025-12-01,16,2026-07-25 00:18:26.998477
196,Lawson LLC,Logistics,Germany,Social Media,2024-03-20,19,2026-07-25 00:18:26.999177
197,"Lee, King and Campos",Education,Canada,Referral,2023-12-07,3,2026-07-25 00:18:27.000058
198,"Massey, Fuller and Berger",Education,Germany,Referral,2025-10-21,15,2026-07-25 00:18:27.000787
199,Parker Group,E-Commerce,Australia,Social Media,2025-10-01,13,2026-07-25 00:18:27.001026
200,"Diaz, Anderson and Browning",Manufacturing,India,Partner,2023-02-21,11,2026-07-25 00:18:27.001500
201,"Perry, Gonzalez and Buchanan",Healthcare,Germany,Referral,2024-05-22,12,2026-07-25 00:18:27.001966
202,"Shaw, Nelson and Martin",Education,Canada,Paid Ads,2024-07-22,20,2026-07-25 00:18:27.002434
203,Francis-Morgan,Education,Australia,Organic,2025-01-18,17,2026-07-25 00:18:27.002786
204,Mccarty-Taylor,Retail,India,Referral,2023-06-28,14,2026-07-25 00:18:27.003154
205,"Ramsey, Whitney and Coffey",Logistics,Australia,Referral,2023-12-17,16,2026-07-25 00:18:27.003620
206,Davis-Foster,Logistics,Germany,Organic,2025-05-15,3,2026-07-25 00:18:27.003946
207,"Martinez, Richardson and Curry",Education,USA,Partner,2024-02-15,8,2026-07-25 00:18:27.004407
208,"James, Little and Watson",Education,Singapore,Outbound Sales,2024-02-12,12,2026-07-25 00:18:27.004895
209,Ruiz PLC,Logistics,Australia,Outbound Sales,2025-11-14,12,2026-07-25 00:18:27.005102
210,Herman-Walker,Marketing,Singapore,Outbound Sales,2025-05-22,11,2026-07-25 00:18:27.005429
211,"Colon, Blankenship and Turner",Manufacturing,Singapore,Partner,2023-04-09,9,2026-07-25 00:18:27.005889
212,Taylor Inc,Education,Canada,Referral,2024-09-26,4,2026-07-25 00:18:27.006084
213,Wilson-Young,Retail,Canada,Organic,2024-04-17,18,2026-07-25 00:18:27.006408
214,Price LLC,Healthcare,USA,Referral,2025-04-15,16,2026-07-25 00:18:27.006638
215,"Horton, Fernandez and Matthews",Education,Singapore,Outbound Sales,2025-11-07,17,2026-07-25 00:18:27.007128
216,Pena-Bass,E-Commerce,Canada,Organic,2023-08-29,7,2026-07-25 00:18:27.007490
217,Crosby-Ramirez,Education,USA,Paid Ads,2025-08-14,6,2026-07-25 00:18:27.007814
218,Robinson-Wallace,Education,India,Social Media,2025-12-08,18,2026-07-25 00:18:27.008211
219,Garcia-Jennings,Healthcare,Canada,Organic,2024-01-02,2,2026-07-25 00:18:27.008556
220,"Howard, Sanders and Lopez",Consulting,Canada,Social Media,2025-04-25,5,2026-07-25 00:18:27.009058
221,Davis-Lewis,Logistics,India,Organic,2023-07-09,19,2026-07-25 00:18:27.009394
222,"Maddox, Williams and Cook",Education,Germany,Partner,2025-09-20,15,2026-07-25 00:18:27.009861
223,"Harris, Gallegos and Spencer",Manufacturing,USA,Organic,2023-07-15,9,2026-07-25 00:18:27.010325
224,Li and Sons,Logistics,India,Organic,2025-06-29,13,2026-07-25 00:18:27.010520
225,Kramer PLC,Logistics,India,Outbound Sales,2024-05-25,2,2026-07-25 00:18:27.010713
226,Garrison-Thomas,Healthcare,USA,Outbound Sales,2023-01-05,10,2026-07-25 00:18:27.011149
227,"King, Thompson and Guerrero",Finance,USA,Organic,2023-07-21,18,2026-07-25 00:18:27.011738
228,Smith and Sons,Marketing,Australia,Outbound Sales,2023-02-10,20,2026-07-25 00:18:27.011970
229,Smith-Baker,Retail,United Kingdom,Outbound Sales,2025-07-03,13,2026-07-25 00:18:27.012299
230,"Fisher, Wilson and Brown",Logistics,Germany,Paid Ads,2023-07-16,19,2026-07-25 00:18:27.012801
231,Palmer-Rodriguez,Marketing,Canada,Outbound Sales,2024-11-27,20,2026-07-25 00:18:27.013142
232,Dougherty Inc,SaaS,Australia,Social Media,2025-02-21,4,2026-07-25 00:18:27.013338
233,"Turner, Schneider and Johnson",Retail,Singapore,Referral,2025-10-20,9,2026-07-25 00:18:27.013799
234,Simmons-Rodriguez,Finance,USA,Referral,2025-01-14,6,2026-07-25 00:18:27.014166
235,Lam LLC,Consulting,India,Referral,2024-11-20,1,2026-07-25 00:18:27.014603
236,Jones LLC,Marketing,Germany,Social Media,2025-08-02,20,2026-07-25 00:18:27.014852
237,"Richards, Joseph and James",Logistics,Canada,Organic,2025-08-27,8,2026-07-25 00:18:27.015545
238,"Phillips, Wagner and Jordan",Education,Singapore,Paid Ads,2025-07-17,15,2026-07-25 00:18:27.016464
239,Farrell Ltd,Finance,Singapore,Referral,2025-12-26,9,2026-07-25 00:18:27.016820
240,"Glenn, Jordan and Beasley",E-Commerce,Singapore,Referral,2025-05-06,14,2026-07-25 00:18:27.017401
241,Wilcox-Ross,Finance,Australia,Referral,2024-10-04,5,2026-07-25 00:18:27.017957
242,Simmons-Ortega,Education,United Kingdom,Referral,2023-05-28,3,2026-07-25 00:18:27.018363
243,Mcdaniel Group,SaaS,USA,Paid Ads,2024-08-04,20,2026-07-25 00:18:27.018594
244,Decker Inc,E-Commerce,Canada,Partner,2023-04-15,4,2026-07-25 00:18:27.018838
245,Garner LLC,Logistics,Singapore,Paid Ads,2024-11-01,13,2026-07-25 00:18:27.019048
246,"Brown, Frye and Hoffman",Education,Australia,Outbound Sales,2023-07-22,16,2026-07-25 00:18:27.019521
247,Jenkins Ltd,Logistics,India,Outbound Sales,2025-11-06,2,2026-07-25 00:18:27.019722
248,"Williams, Roberts and Edwards",Marketing,Singapore,Paid Ads,2024-10-19,20,2026-07-25 00:18:27.020194
249,"Romero, Moore and Olson",Education,India,Organic,2023-06-10,8,2026-07-25 00:18:27.020665
250,Bruce-Richardson,E-Commerce,Australia,Organic,2023-06-18,9,2026-07-25 00:18:27.021051
251,"Perez, Patterson and Hoffman",E-Commerce,India,Referral,2024-03-08,16,2026-07-25 00:18:27.021534
252,"Leonard, Hawkins and Lynch",Consulting,Singapore,Partner,2025-08-23,9,2026-07-25 00:18:27.021999
253,"Adams, White and Park",Healthcare,Australia,Partner,2025-10-18,16,2026-07-25 00:18:27.022501
254,Bell-White,Finance,Germany,Paid Ads,2024-04-24,14,2026-07-25 00:18:27.022849
255,"Sandoval, Jones and Figueroa",Manufacturing,Canada,Social Media,2023-08-11,4,2026-07-25 00:18:27.023371
256,Reese and Sons,Healthcare,Canada,Partner,2023-02-17,16,2026-07-25 00:18:27.023585
257,Chavez-Moore,Education,Singapore,Partner,2024-08-07,18,2026-07-25 00:18:27.023909
258,"Nguyen, Pugh and Carlson",SaaS,Germany,Organic,2024-04-29,11,2026-07-25 00:18:27.024370
259,Moore PLC,Education,Canada,Organic,2023-03-23,13,2026-07-25 00:18:27.024565
260,"Miller, Ramos and Coleman",Consulting,United Kingdom,Organic,2023-03-19,18,2026-07-25 00:18:27.025059
261,Perry-Lewis,Logistics,Germany,Organic,2025-08-01,7,2026-07-25 00:18:27.025408
262,Reed Inc,Consulting,Canada,Outbound Sales,2025-03-06,16,2026-07-25 00:18:27.025618
263,"Gregory, Tucker and Estrada",Logistics,United Kingdom,Organic,2024-03-16,7,2026-07-25 00:18:27.026290
264,Foster PLC,Education,Australia,Referral,2023-03-12,10,2026-07-25 00:18:27.026564
265,Harris and Sons,Logistics,Singapore,Partner,2023-03-27,4,2026-07-25 00:18:27.026766
