target_id,manager_id,target_month,target_revenue,achieved_revenue,created_at
40,2,2024-04-01,156277,187403.31,2026-07-25 00:18:33.431833
41,2,2024-05-01,280498,325108.1,2026-07-25 00:18:33.431840
42,2,2024-06-01,180254,154349.74,2026-07-25 00:18:33.431848
43,2,2024-07-01,177783,190788.21,2026-07-25 00:18:33.431854
44,2,2024-08-01,140778,168432.5,2026-07-25 00:18:33.431860
45,2,2024-09-01,295469,256773.9,2026-07-25 00:18:33.431867
46,2,2024-10-01,136776,146146.72,2026-07-25 00:18:33.431873
47,2,2024-11-01,255602,263496.04,2026-07-25 00:18:33.431879
48,2,2024-12-01,293967,333044.47,2026-07-25 00:18:33.431886
49,2,2025-01-01,246072,186791.76,2026-07-25 00:18:33.431892
50,2,2025-02-01,165294,133708.0,2026-07-25 00:18:33.431898
51,2,2025-03-01,145640,161608.12,2026-07-25 00:18:33.431904
52,2,2025-04-01,225540,181888.47,2026-07-25 00:18:33.431910
53,2,2025-05-01,112484,98521.86,2026-07-25 00:18:33.431916
54,2,2025-06-01,264043,250836.65,2026-07-25 00:18:33.431922
55,2,2025-07-01,248871,271100.72,2026-07-25 00:18:33.431928
56,2,2025-08-01,143451,140598.59,2026-07-25 00:18:33.431934
57,2,2025-09-01,96951,81004.83,2026-07-25 00:18:33.431941
58,2,2025-10-01,160803,130877.83,2026-07-25 00:18:33.431947
59,2,2025-11-01,140006,164199.86,2026-07-25 00:18:33.431953
60,2,2025-12-01,245160,288231.76,2026-07-25 00:18:33.431960
61,2,2026-01-01,264025,257387.23,2026-07-25 00:18:33.431966
62,2,2026-02-01,106395,84101.05,2026-07-25 00:18:33.431972
63,2,2026-03-01,168350,160875.33,2026-07-25 00:18:33.432020
64,2,2026-04-01,166918,156377.53,2026-07-25 00:18:33.432032
65,2,2026-05-01,142164,135133.39,2026-07-25 00:18:33.432038
66,2,2026-06-01,248794,248359.9,2026-07-25 00:18:33.432046
67,2,2026-07-01,238522,180731.93,2026-07-25 00:18:33.432051
68,2,2026-08-01,280894,336624.96,2026-07-25 00:18:33.432058
69,2,2026-09-01,192960,158043.93,2026-07-25 00:18:33.432064
70,2,2026-10-01,227726,176022.85,2026-07-25 00:18:33.432071
71,2,2026-11-01,131403,124965.72,2026-07-25 00:18:33.432076
72,2,2026-12-01,157012,143221.17,2026-07-25 00:18:33.432107
73,3,2024-01-01,189184,224937.22,2026-07-25 00:18:33.432226
74,3,2024-02-01,251424,254995.74,2026-07-25 00:18:33.432236
75,3,2024-03-01,137505,132531.01,2026-07-25 00:18:33.432243
76,3,2024-04-01,237191,222002.97,2026-07-25 00:18:33.432250
77,3,2024-05-01,116503,93105.71,2026-07-25 00:18:33.432256
78,3,2024-06-01,109618,120818.75,2026-07-25 00:18:33.432268
79,3,2024-07-01,260582,268539.47,2026-07-25 00:18:33.432275
80,3,2024-08-01,247855,224132.72,2026-07-25 00:18:33.432281
81,3,2024-09-01,280011,268593.26,2026-07-25 00:18:33.432287
82,3,2024-10-01,148300,119310.02,2026-07-25 00:18:33.432293
83,3,2024-11-01,140315,132177.84,2026-07-25 00:18:33.432299
84,3,2024-12-01,246034,226928.69,2026-07-25 00:18:33.432305
85,3,2025-01-01,221567,210997.33,2026-07-25 00:18:33.432371
86,3,2025-02-01,140264,164283.0,2026-07-25 00:18:33.432410
87,3,2025-03-01,290853,291398.88,2026-07-25 00:18:33.432421
88,3,2025-04-01,273755,289092.25,2026-07-25 00:18:33.432428
89,3,2025-05-01,203460,176011.65,2026-07-25 00:18:33.432433
90,3,2025-06-01,88703,101979.17,2026-07-25 00:18:33.432439
91,3,2025-07-01,92160,98192.8,2026-07-25 00:18:33.432445
92,3,2025-08-01,291965,245303.15,2026-07-25 00:18:33.432452
93,3,2025-09-01,162139,176426.33,2026-07-25 00:18:33.432458
94,3,2025-10-01,173163,145437.76,2026-07-25 00:18:33.432467
95,3,2025-11-01,292277,301209.06,2026-07-25 00:18:33.432475
96,3,2025-12-01,280319,234855.92,2026-07-25 00:18:33.432481
97,3,2026-01-01,229711,264912.87,2026-07-25 00:18:33.432487
98,3,2026-02-01,218153,188318.88,2026-07-25 00:18:33.432493
99,3,2026-03-01,286796,263768.18,2026-07-25 00:18:33.432498
100,3,2026-04-01,255500,274034.54,2026-07-25 00:18:33.432504
101,3,2026-05-01,292928,283422.01,2026-07-25 00:18:33.432512
102,3,2026-06-01,286833,223194.69,2026-07-25 00:18:33.432518
103,3,2026-07-01,143948,120527.85,2026-07-25 00:18:33.432525
104,3,2026-08-01,244527,277167.06,2026-07-25 00:18:33.432531
105,3,2026-09-01,111279,99569.99,2026-07-25 00:18:33.432537
106,3,2026-10-01,287326,341388.72,2026-07-25 00:18:33.432543
107,3,2026-11-01,189786,178823.64,2026-07-25 00:18:33.432549
108,3,2026-12-01,268834,305216.94,2026-07-25 00:18:33.432555
109,4,2024-01-01,171306,172013.23,2026-07-25 00:18:33.432665
110,4,2024-02-01,187141,201033.59,2026-07-25 00:18:33.432676
111,4,2024-03-01,181395,147656.08,2026-07-25 00:18:33.432681
112,4,2024-04-01,97050,85673.69,2026-07-25 00:18:33.432687
113,4,2024-05-01,144012,167900.06,2026-07-25 00:18:33.432694
114,4,2024-06-01,208069,188352.11,2026-07-25 00:18:33.432701
115,4,2024-07-01,141102,147815.48,2026-07-25 00:18:33.432856
116,4,2024-08-01,166655,196796.53,2026-07-25 00:18:33.432876
117,4,2024-09-01,179718,142855.34,2026-07-25 00:18:33.432934
118,4,2024-10-01,203862,238835.13,2026-07-25 00:18:33.432949
119,4,2024-11-01,104297,91617.83,2026-07-25 00:18:33.432955
120,4,2024-12-01,269538,220981.84,2026-07-25 00:18:33.432962
121,4,2025-01-01,258504,288940.78,2026-07-25 00:18:33.432969
122,4,2025-02-01,134952,123106.47,2026-07-25 00:18:33.432975
123,4,2025-03-01,147034,157441.32,2026-07-25 00:18:33.432982
124,4,2025-04-01,266655,262215.98,2026-07-25 00:18:33.432987
125,4,2025-05-01,224751,190357.91,2026-07-25 00:18:33.432992
126,4,2025-06-01,190793,187845.87,2026-07-25 00:18:33.432998
127,4,2025-07-01,236343,205551.9,2026-07-25 00:18:33.433004
128,4,2025-08-01,181790,210535.29,2026-07-25 00:18:33.433010
129,4,2025-09-01,283817,264180.58,2026-07-25 00:18:33.433016
130,4,2025-10-01,110511,111710.76,2026-07-25 00:18:33.433027
131,4,2025-11-01,85135,76206.54,2026-07-25 00:18:33.433033
132,4,2025-12-01,260000,212240.83,2026-07-25 00:18:33.433038
133,4,2026-01-01,94875,72843.02,2026-07-25 00:18:33.433044
134,4,2026-02-01,261409,278359.57,2026-07-25 00:18:33.433053
135,4,2026-03-01,115495,127760.87,2026-07-25 00:18:33.433060
136,4,2026-04-01,148468,149971.15,2026-07-25 00:18:33.433065
137,4,2026-05-01,173650,166436.91,2026-07-25 00:18:33.433071
138,4,2026-06-01,248675,257896.13,2026-07-25 00:18:33.433077
139,4,2026-07-01,162530,175649.85,2026-07-25 00:18:33.433094
140,4,2026-08-01,95239,83669.62,2026-07-25 00:18:33.433106
141,4,2026-09-01,171350,164534.82,2026-07-25 00:18:33.433112
142,4,2026-10-01,159653,132281.8,2026-07-25 00:18:33.433118
143,4,2026-11-01,137655,123766.59,2026-07-25 00:18:33.433126
144,4,2026-12-01,122980,116389.86,2026-07-25 00:18:33.433132
145,5,2024-01-01,280570,230604.07,2026-07-25 00:18:33.433278
146,5,2024-02-01,244003,205382.31,2026-07-25 00:18:33.433286
147,5,2024-03-01,275300,322303.99,2026-07-25 00:18:33.433294
148,5,2024-04-01,148568,157389.44,2026-07-25 00:18:33.433302
149,5,2024-05-01,209880,210511.5,2026-07-25 00:18:33.433309
150,5,2024-06-01,221033,263551.05,2026-07-25 00:18:33.433319
151,5,2024-07-01,264237,238485.62,2026-07-25 00:18:33.433326
152,5,2024-08-01,232577,267480.03,2026-07-25 00:18:33.433333
153,5,2024-09-01,254315,239208.89,2026-07-25 00:18:33.433341
154,5,2024-10-01,247588,247261.73,2026-07-25 00:18:33.433347
155,5,2024-11-01,168988,159628.1,2026-07-25 00:18:33.433353
156,5,2024-12-01,83484,84601.33,2026-07-25 00:18:33.433360
157,5,2025-01-01,120337,139963.11,2026-07-25 00:18:33.433366
158,5,2025-02-01,212754,225139.47,2026-07-25 00:18:33.433374
159,5,2025-03-01,98901,93721.4,2026-07-25 00:18:33.433380
160,5,2025-04-01,289396,334262.55,2026-07-25 00:18:33.433386
161,5,2025-05-01,212715,195583.43,2026-07-25 00:18:33.433392
162,5,2025-06-01,270163,318994.0,2026-07-25 00:18:33.433399
163,5,2025-07-01,118960,139035.04,2026-07-25 00:18:33.433404
164,5,2025-08-01,112449,103479.37,2026-07-25 00:18:33.433410
165,5,2025-09-01,241527,210724.75,2026-07-25 00:18:33.433416
166,5,2025-10-01,197505,185252.8,2026-07-25 00:18:33.433422
167,5,2025-11-01,83010,86866.83,2026-07-25 00:18:33.433428
168,5,2025-12-01,159385,149634.89,2026-07-25 00:18:33.433434
169,5,2026-01-01,201524,160352.29,2026-07-25 00:18:33.433441
170,5,2026-02-01,196437,191991.38,2026-07-25 00:18:33.433449
171,5,2026-03-01,82796,65814.24,2026-07-25 00:18:33.433455
172,5,2026-04-01,103861,104543.03,2026-07-25 00:18:33.433461
173,5,2026-05-01,117155,126112.48,2026-07-25 00:18:33.433466
174,5,2026-06-01,160448,181599.33,2026-07-25 00:18:33.433474
175,5,2026-07-01,213411,165433.28,2026-07-25 00:18:33.433480
176,5,2026-08-01,139047,155945.54,2026-07-25 00:18:33.433486
177,5,2026-09-01,230580,249167.03,2026-07-25 00:18:33.433492
178,5,2026-10-01,84618,72485.34,2026-07-25 00:18:33.433498
179,5,2026-11-01,232866,265002.68,2026-07-25 00:18:33.433503
180,5,2026-12-01,101049,116964.17,2026-07-25 00:18:33.433510
181,6,2024-01-01,253797,288012.43,2026-07-25 00:18:33.433593
182,6,2024-02-01,250902,283335.62,2026-07-25 00:18:33.433600
183,6,2024-03-01,194887,184632.65,2026-07-25 00:18:33.433606
184,6,2024-04-01,256453,254157.6,2026-07-25 00:18:33.433612
185,6,2024-05-01,246225,189045.79,2026-07-25 00:18:33.433617
186,6,2024-06-01,276137,315794.38,2026-07-25 00:18:33.433623
187,6,2024-07-01,261054,303346.72,2026-07-25 00:18:33.433629
188,6,2024-08-01,224547,263937.98,2026-07-25 00:18:33.433636
189,6,2024-09-01,122370,105424.67,2026-07-25 00:18:33.433641
190,6,2024-10-01,252182,202122.17,2026-07-25 00:18:33.433647
191,6,2024-11-01,129199,139257.21,2026-07-25 00:18:33.433653
192,6,2024-12-01,289830,270327.83,2026-07-25 00:18:33.433659
193,6,2025-01-01,94191,106065.01,2026-07-25 00:18:33.433665
194,6,2025-02-01,249268,297137.6,2026-07-25 00:18:33.433671
195,6,2025-03-01,244799,287720.78,2026-07-25 00:18:33.433677
196,6,2025-04-01,274221,209382.27,2026-07-25 00:18:33.433683
197,6,2025-05-01,148656,136437.37,2026-07-25 00:18:33.433689
198,6,2025-06-01,246932,231909.51,2026-07-25 00:18:33.433695
199,6,2025-07-01,172045,187822.26,2026-07-25 00:18:33.433701
200,6,2025-08-01,264534,271599.28,2026-07-25 00:18:33.433736
201,6,2025-09-01,82768,93951.33,2026-07-25 00:18:33.433746
202,6,2025-10-01,134385,103889.74,2026-07-25 00:18:33.433755
203,6,2025-11-01,195046,171052.02,2026-07-25 00:18:33.433761
204,6,2025-12-01,255329,304032.97,2026-07-25 00:18:33.433767
205,6,2026-01-01,297484,339399.59,2026-07-25 00:18:33.433773
206,6,2026-02-01,268693,207953.82,2026-07-25 00:18:33.433779
207,6,2026-03-01,179261,206090.42,2026-07-25 00:18:33.433785
208,6,2026-04-01,294960,249107.11,2026-07-25 00:18:33.433791
209,6,2026-05-01,116139,93626.3,2026-07-25 00:18:33.433797
210,6,2026-06-01,151926,139510.37,2026-07-25 00:18:33.433803
211,6,2026-07-01,249257,234761.38,2026-07-25 00:18:33.433809
212,6,2026-08-01,209352,243321.48,2026-07-25 00:18:33.433815
213,6,2026-09-01,264065,261073.53,2026-07-25 00:18:33.433821
214,6,2026-10-01,247194,186146.56,2026-07-25 00:18:33.433827
215,6,2026-11-01,281139,263713.0,2026-07-25 00:18:33.433834
216,6,2026-12-01,123072,104699.11,2026-07-25 00:18:33.433840
217,7,2024-01-01,169266,150936.83,2026-07-25 00:18:33.433916
218,7,2024-02-01,137288,133074.31,2026-07-25 00:18:33.433923
219,7,2024-03-01,150600,172286.01,2026-07-25 00:18:33.433929
220,7,2024-04-01,283417,230660.88,2026-07-25 00:18:33.433935
221,7,2024-05-01,243193,189320.29,2026-07-25 00:18:33.433941
222,7,2024-06-01,162003,137636.39,2026-07-25 00:18:33.433948
223,7,2024-07-01,173597,136691.69,2026-07-25 00:18:33.433954
224,7,2024-08-01,161421,193454.51,2026-07-25 00:18:33.433960
225,7,2024-09-01,236387,257851.48,2026-07-25 00:18:33.433965
226,7,2024-10-01,120880,110538.47,2026-07-25 00:18:33.433971
227,7,2024-11-01,211559,242453.52,2026-07-25 00:18:33.433978
228,7,2024-12-01,272605,318630.41,2026-07-25 00:18:33.433984
229,7,2025-01-01,170943,190385.42,2026-07-25 00:18:33.433990
230,7,2025-02-01,156628,149161.27,2026-07-25 00:18:33.433995
231,7,2025-03-01,255565,208416.15,2026-07-25 00:18:33.434002
232,7,2025-04-01,129578,126731.72,2026-07-25 00:18:33.434007
233,7,2025-05-01,195715,223877.99,2026-07-25 00:18:33.434013
234,7,2025-06-01,255325,191814.69,2026-07-25 00:18:33.434021
235,7,2025-07-01,244563,278724.83,2026-07-25 00:18:33.434027
236,7,2025-08-01,194861,205965.15,2026-07-25 00:18:33.434033
237,7,2025-09-01,81980,64715.83,2026-07-25 00:18:33.434039
238,7,2025-10-01,188454,159631.83,2026-07-25 00:18:33.434045
239,7,2025-11-01,264648,231397.57,2026-07-25 00:18:33.434051
240,7,2025-12-01,84461,72589.1,2026-07-25 00:18:33.434056
241,7,2026-01-01,193527,211967.24,2026-07-25 00:18:33.434062
242,7,2026-02-01,179891,182038.13,2026-07-25 00:18:33.434068
243,7,2026-03-01,297506,341300.06,2026-07-25 00:18:33.434074
244,7,2026-04-01,118386,123188.93,2026-07-25 00:18:33.434080
245,7,2026-05-01,293670,236985.09,2026-07-25 00:18:33.434086
246,7,2026-06-01,200045,176218.23,2026-07-25 00:18:33.434092
247,7,2026-07-01,293105,305481.59,2026-07-25 00:18:33.434097
248,7,2026-08-01,100513,86855.42,2026-07-25 00:18:33.434104
249,7,2026-09-01,238684,211684.33,2026-07-25 00:18:33.434110
250,7,2026-10-01,123531,101223.17,2026-07-25 00:18:33.434116
251,7,2026-11-01,214352,201718.15,2026-07-25 00:18:33.434122
252,7,2026-12-01,97590,116710.35,2026-07-25 00:18:33.434128
253,8,2024-01-01,261765,215006.52,2026-07-25 00:18:33.434203
254,8,2024-02-01,226293,239530.33,2026-07-25 00:18:33.434210
255,8,2024-03-01,244310,213518.24,2026-07-25 00:18:33.434216
256,8,2024-04-01,237789,236076.3,2026-07-25 00:18:33.434222
257,8,2024-05-01,96134,98816.66,2026-07-25 00:18:33.434229
258,8,2024-06-01,297580,233765.61,2026-07-25 00:18:33.434236
259,8,2024-07-01,152665,172744.66,2026-07-25 00:18:33.434244
260,8,2024-08-01,290164,245120.58,2026-07-25 00:18:33.434250
261,8,2024-09-01,267272,207709.61,2026-07-25 00:18:33.434256
262,8,2024-10-01,249343,292335.23,2026-07-25 00:18:33.434263
263,8,2024-11-01,139846,154328.07,2026-07-25 00:18:33.434269
264,8,2024-12-01,141703,123839.29,2026-07-25 00:18:33.434290
265,8,2025-01-01,277262,315932.24,2026-07-25 00:18:33.434299
266,8,2025-02-01,87652,75233.4,2026-07-25 00:18:33.434306
267,8,2025-03-01,182848,158684.19,2026-07-25 00:18:33.434312
268,8,2025-04-01,148647,134460.73,2026-07-25 00:18:33.434318
269,8,2025-05-01,165075,181911.29,2026-07-25 00:18:33.434324
270,8,2025-06-01,131157,144593.99,2026-07-25 00:18:33.434332
271,8,2025-07-01,168390,175387.09,2026-07-25 00:18:33.434338
272,8,2025-08-01,291196,271337.98,2026-07-25 00:18:33.434344
273,8,2025-09-01,265173,318109.46,2026-07-25 00:18:33.434350
274,8,2025-10-01,290759,245693.41,2026-07-25 00:18:33.434356
275,8,2025-11-01,112379,129667.52,2026-07-25 00:18:33.434362
276,8,2025-12-01,185611,203282.64,2026-07-25 00:18:33.434368
277,8,2026-01-01,107924,101316.05,2026-07-25 00:18:33.434374
278,8,2026-02-01,225025,242986.57,2026-07-25 00:18:33.434380
279,8,2026-03-01,126069,140240.23,2026-07-25 00:18:33.434386
280,8,2026-04-01,174146,208287.49,2026-07-25 00:18:33.434392
281,8,2026-05-01,114961,108097.07,2026-07-25 00:18:33.434398
282,8,2026-06-01,288391,227694.92,2026-07-25 00:18:33.434423
283,8,2026-07-01,220892,179609.39,2026-07-25 00:18:33.434430
284,8,2026-08-01,160167,146322.31,2026-07-25 00:18:33.434436
285,8,2026-09-01,195985,147046.16,2026-07-25 00:18:33.434443
286,8,2026-10-01,243365,282163.59,2026-07-25 00:18:33.434448
287,8,2026-11-01,167755,178401.14,2026-07-25 00:18:33.434454
288,8,2026-12-01,177424,138187.62,2026-07-25 00:18:33.434460
289,9,2024-01-01,235130,198597.96,2026-07-25 00:18:33.434536
290,9,2024-02-01,207188,207489.65,2026-07-25 00:18:33.434543
291,9,2024-03-01,268751,315046.63,2026-07-25 00:18:33.434549
292,9,2024-04-01,127495,134411.4,2026-07-25 00:18:33.434555
293,9,2024-05-01,203217,239887.5,2026-07-25 00:18:33.434561
294,9,2024-06-01,218039,231765.67,2026-07-25 00:18:33.434567
295,9,2024-07-01,166561,179391.06,2026-07-25 00:18:33.434573
296,9,2024-08-01,124841,102542.91,2026-07-25 00:18:33.434579
297,9,2024-09-01,138060,136431.47,2026-07-25 00:18:33.434585
298,9,2024-10-01,134840,157507.57,2026-07-25 00:18:33.434592
299,9,2024-11-01,261066,297112.63,2026-07-25 00:18:33.434598
300,9,2024-12-01,138147,114294.28,2026-07-25 00:18:33.434603
301,9,2025-01-01,92366,108315.61,2026-07-25 00:18:33.434609
302,9,2025-02-01,282620,296440.82,2026-07-25 00:18:33.434615
303,9,2025-03-01,262764,258259.16,2026-07-25 00:18:33.434621
304,9,2025-04-01,296777,269989.58,2026-07-25 00:18:33.434627
305,9,2025-05-01,92072,95998.06,2026-07-25 00:18:33.434633
306,9,2025-06-01,292849,220644.2,2026-07-25 00:18:33.434639
307,9,2025-07-01,113581,128069.95,2026-07-25 00:18:33.434645
308,9,2025-08-01,148719,159649.43,2026-07-25 00:18:33.434651
309,9,2025-09-01,90819,69452.47,2026-07-25 00:18:33.434657
310,9,2025-10-01,137610,110066.16,2026-07-25 00:18:33.434665
311,9,2025-11-01,133296,149680.87,2026-07-25 00:18:33.434671
312,9,2025-12-01,294579,280985.1,2026-07-25 00:18:33.434677
313,9,2026-01-01,163087,122767.65,2026-07-25 00:18:33.434683
314,9,2026-02-01,180657,176292.01,2026-07-25 00:18:33.434689
315,9,2026-03-01,138196,105953.1,2026-07-25 00:18:33.434695
316,9,2026-04-01,126831,113452.26,2026-07-25 00:18:33.434701
317,9,2026-05-01,191039,158788.13,2026-07-25 00:18:33.434707
318,9,2026-06-01,171326,142665.94,2026-07-25 00:18:33.434713
319,9,2026-07-01,261900,205399.86,2026-07-25 00:18:33.434719
320,9,2026-08-01,239840,252326.01,2026-07-25 00:18:33.434726
321,9,2026-09-01,147229,141769.07,2026-07-25 00:18:33.434732
322,9,2026-10-01,141981,125803.43,2026-07-25 00:18:33.434738
323,9,2026-11-01,248621,220555.33,2026-07-25 00:18:33.434744
324,9,2026-12-01,220701,194756.06,2026-07-25 00:18:33.434750
325,10,2024-01-01,165817,196433.24,2026-07-25 00:18:33.434820
326,10,2024-02-01,191468,167687.82,2026-07-25 00:18:33.434827
327,10,2024-03-01,223245,192392.45,2026-07-25 00:18:33.434833
328,10,2024-04-01,266839,305104.58,2026-07-25 00:18:33.434852
329,10,2024-05-01,121212,108374.89,2026-07-25 00:18:33.434861
330,10,2024-06-01,171986,131577.17,2026-07-25 00:18:33.434867
331,10,2024-07-01,131394,153703.63,2026-07-25 00:18:33.434873
332,10,2024-08-01,225228,245456.68,2026-07-25 00:18:33.434879
333,10,2024-09-01,103694,89243.24,2026-07-25 00:18:33.434885
334,10,2024-10-01,257419,251926.74,2026-07-25 00:18:33.434891
335,10,2024-11-01,208667,225072.08,2026-07-25 00:18:33.434896
336,10,2024-12-01,237822,215911.3,2026-07-25 00:18:33.434906
337,10,2025-01-01,147822,155143.12,2026-07-25 00:18:33.434912
338,10,2025-02-01,103618,79673.93,2026-07-25 00:18:33.434919
339,10,2025-03-01,96117,101340.65,2026-07-25 00:18:33.434924
340,10,2025-04-01,183618,190214.2,2026-07-25 00:18:33.434930
341,10,2025-05-01,167829,146596.59,2026-07-25 00:18:33.434936
342,10,2025-06-01,128883,120523.69,2026-07-25 00:18:33.434941
343,10,2025-07-01,219822,229404.22,2026-07-25 00:18:33.434946
344,10,2025-08-01,237529,208317.55,2026-07-25 00:18:33.434951
345,10,2025-09-01,193890,186455.29,2026-07-25 00:18:33.434956
346,10,2025-10-01,91231,105421.46,2026-07-25 00:18:33.434962
347,10,2025-11-01,191353,227487.08,2026-07-25 00:18:33.434967
348,10,2025-12-01,174645,181827.54,2026-07-25 00:18:33.434972
349,10,2026-01-01,275739,243203.47,2026-07-25 00:18:33.434978
350,10,2026-02-01,99820,82440.96,2026-07-25 00:18:33.434984
351,10,2026-03-01,243444,235118.88,2026-07-25 00:18:33.434989
352,10,2026-04-01,160403,165023.29,2026-07-25 00:18:33.434995
353,10,2026-05-01,132198,145789.89,2026-07-25 00:18:33.435002
354,10,2026-06-01,167287,145382.91,2026-07-25 00:18:33.435010
355,10,2026-07-01,186524,171598.91,2026-07-25 00:18:33.435015
356,10,2026-08-01,259177,242293.61,2026-07-25 00:18:33.435020
357,10,2026-09-01,101320,84570.51,2026-07-25 00:18:33.435025
358,10,2026-10-01,131080,117569.48,2026-07-25 00:18:33.435032
359,10,2026-11-01,177303,194400.13,2026-07-25 00:18:33.435037
360,10,2026-12-01,86621,97337.36,2026-07-25 00:18:33.435042
361,11,2024-01-01,153987,157178.93,2026-07-25 00:18:33.435133
362,11,2024-02-01,102868,113281.91,2026-07-25 00:18:33.435139
363,11,2024-03-01,199686,217540.74,2026-07-25 00:18:33.435146
364,11,2024-04-01,236743,190804.01,2026-07-25 00:18:33.435152
365,11,2024-05-01,106112,93988.78,2026-07-25 00:18:33.435158
366,11,2024-06-01,129971,116366.84,2026-07-25 00:18:33.435166
367,11,2024-07-01,145080,130893.55,2026-07-25 00:18:33.435171
368,11,2024-08-01,298076,231454.24,2026-07-25 00:18:33.435177
369,11,2024-09-01,284821,298268.33,2026-07-25 00:18:33.435183
370,11,2024-10-01,83111,92769.42,2026-07-25 00:18:33.435189
371,11,2024-11-01,111940,122309.09,2026-07-25 00:18:33.435195
372,11,2024-12-01,158423,142033.13,2026-07-25 00:18:33.435201
373,11,2025-01-01,104816,99824.21,2026-07-25 00:18:33.435206
374,11,2025-02-01,255473,254037.24,2026-07-25 00:18:33.435213
375,11,2025-03-01,96516,96477.21,2026-07-25 00:18:33.435220
376,11,2025-04-01,91226,94618.49,2026-07-25 00:18:33.435228
377,11,2025-05-01,202229,182591.44,2026-07-25 00:18:33.435234
378,11,2025-06-01,151308,173432.91,2026-07-25 00:18:33.435241
379,11,2025-07-01,188044,221316.38,2026-07-25 00:18:33.435247
380,11,2025-08-01,298861,272689.93,2026-07-25 00:18:33.435253
381,11,2025-09-01,194549,198486.44,2026-07-25 00:18:33.435259
382,11,2025-10-01,97299,76806.46,2026-07-25 00:18:33.435267
383,11,2025-11-01,201638,231121.23,2026-07-25 00:18:33.435280
384,11,2025-12-01,235712,190136.48,2026-07-25 00:18:33.435289
385,11,2026-01-01,251181,287305.29,2026-07-25 00:18:33.435295
386,11,2026-02-01,109291,110533.67,2026-07-25 00:18:33.435301
387,11,2026-03-01,234009,217891.74,2026-07-25 00:18:33.435306
388,11,2026-04-01,109669,128159.56,2026-07-25 00:18:33.435313
389,11,2026-05-01,151005,174188.57,2026-07-25 00:18:33.435319
390,11,2026-06-01,216234,228701.64,2026-07-25 00:18:33.435326
391,11,2026-07-01,166760,140508.28,2026-07-25 00:18:33.435332
392,11,2026-08-01,211188,182835.0,2026-07-25 00:18:33.435340
393,11,2026-09-01,202993,186416.73,2026-07-25 00:18:33.435347
394,11,2026-10-01,146450,119385.38,2026-07-25 00:18:33.435352
395,11,2026-11-01,225174,247622.15,2026-07-25 00:18:33.435358
396,11,2026-12-01,86966,88092.77,2026-07-25 00:18:33.435363
397,12,2024-01-01,141481,119226.61,2026-07-25 00:18:33.435469
398,12,2024-02-01,298976,302358.45,2026-07-25 00:18:33.435477
