usage_id,customer_id,usage_month,active_users,api_requests,storage_used_gb,login_count,created_at
109,10,2024-07-16,31,49911,540.01,88,2026-07-25 00:18:31.958184
110,10,2024-08-15,81,106991,628.54,213,2026-07-25 00:18:31.958196
111,10,2024-09-14,41,120840,750.56,496,2026-07-25 00:18:31.958208
112,10,2024-10-14,31,85337,536.85,485,2026-07-25 00:18:31.958218
113,10,2024-11-13,27,36268,508.96,322,2026-07-25 00:18:31.958227
114,10,2024-12-13,53,30059,641.25,464,2026-07-25 00:18:31.958236
115,10,2025-01-12,79,50567,758.76,433,2026-07-25 00:18:31.958244
116,10,2025-02-11,43,45132,417.9,478,2026-07-25 00:18:31.958255
117,10,2025-03-13,28,99881,869.19,182,2026-07-25 00:18:31.958264
118,10,2025-04-12,9,107891,453.81,179,2026-07-25 00:18:31.958272
119,10,2025-05-12,16,74744,628.1,375,2026-07-25 00:18:31.958281
120,10,2025-06-11,41,82212,452.1,225,2026-07-25 00:18:31.958291
121,11,2025-06-25,16,25274,180.81,100,2026-07-25 00:18:31.958323
122,11,2025-07-25,2,17482,174.88,132,2026-07-25 00:18:31.958335
123,11,2025-08-24,24,20447,117.45,286,2026-07-25 00:18:31.958345
124,11,2025-09-23,15,18805,160.83,316,2026-07-25 00:18:31.958353
125,11,2025-10-23,18,6718,42.19,364,2026-07-25 00:18:31.958363
126,11,2025-11-22,20,25236,196.29,11,2026-07-25 00:18:31.958373
127,11,2025-12-22,16,15934,152.47,174,2026-07-25 00:18:31.958382
128,11,2026-01-21,5,14274,160.37,431,2026-07-25 00:18:31.958391
129,11,2026-02-20,5,23748,196.33,341,2026-07-25 00:18:31.958400
130,11,2026-03-22,21,8401,135.72,275,2026-07-25 00:18:31.958412
131,11,2026-04-21,17,18055,53.74,316,2026-07-25 00:18:31.958421
132,12,2024-05-03,4,2837,10.41,72,2026-07-25 00:18:31.958434
133,12,2024-06-02,3,2854,33.22,45,2026-07-25 00:18:31.958443
134,12,2024-07-02,3,4562,28.96,498,2026-07-25 00:18:31.958454
135,13,2025-11-09,2,4151,35.27,204,2026-07-25 00:18:31.958466
136,13,2025-12-09,2,3027,17.34,198,2026-07-25 00:18:31.958475
137,13,2026-01-08,3,4342,23.9,188,2026-07-25 00:18:31.958486
138,13,2026-02-07,4,767,24.84,462,2026-07-25 00:18:31.958496
139,13,2026-03-09,3,1925,9.14,31,2026-07-25 00:18:31.958505
140,13,2026-04-08,3,3791,18.01,455,2026-07-25 00:18:31.958514
141,14,2023-04-23,1,1798,33.63,492,2026-07-25 00:18:31.958527
142,14,2023-05-23,1,4019,39.78,32,2026-07-25 00:18:31.958538
143,14,2023-06-22,3,1072,9.6,300,2026-07-25 00:18:31.958547
144,14,2023-07-22,5,1535,34.43,155,2026-07-25 00:18:31.958557
145,14,2023-08-21,4,4850,9.41,20,2026-07-25 00:18:31.958566
146,14,2023-09-20,1,2631,17.89,282,2026-07-25 00:18:31.958575
147,14,2023-10-20,2,1895,35.19,403,2026-07-25 00:18:31.958584
148,14,2023-11-19,4,3232,7.56,318,2026-07-25 00:18:31.958593
149,15,2023-06-05,3,2554,7.53,469,2026-07-25 00:18:31.958606
150,15,2023-07-05,5,3321,6.5,366,2026-07-25 00:18:31.958617
151,15,2023-08-04,2,604,7.98,240,2026-07-25 00:18:31.958626
152,15,2023-09-03,3,1467,7.57,324,2026-07-25 00:18:31.958636
153,15,2023-10-03,4,2040,23.15,157,2026-07-25 00:18:31.958645
154,15,2023-11-02,2,4467,22.09,88,2026-07-25 00:18:31.958655
155,15,2023-12-02,2,4925,31.92,111,2026-07-25 00:18:31.958690
156,16,2024-02-16,5,2021,22.7,245,2026-07-25 00:18:31.958704
157,16,2024-03-17,3,1840,39.06,336,2026-07-25 00:18:31.958715
158,16,2024-04-16,4,630,25.21,423,2026-07-25 00:18:31.958724
159,16,2024-05-16,2,4328,35.8,225,2026-07-25 00:18:31.958736
160,16,2024-06-15,4,1436,32.62,40,2026-07-25 00:18:31.958744
161,16,2024-07-15,3,4032,11.16,457,2026-07-25 00:18:31.958754
162,17,2024-01-15,1,8291,55.73,455,2026-07-25 00:18:31.958767
163,17,2024-02-14,13,26295,156.32,179,2026-07-25 00:18:31.958776
164,17,2024-03-15,12,12985,152.4,408,2026-07-25 00:18:31.958785
165,17,2024-04-14,16,25999,107.35,399,2026-07-25 00:18:31.958795
166,17,2024-05-14,10,16673,104.29,277,2026-07-25 00:18:31.958804
167,17,2024-06-13,7,24888,155.54,269,2026-07-25 00:18:31.958813
168,18,2025-04-23,4,676,19.7,195,2026-07-25 00:18:31.958826
169,18,2025-05-23,3,1537,17.72,86,2026-07-25 00:18:31.958836
170,18,2025-06-22,5,2933,31.94,463,2026-07-25 00:18:31.958846
171,19,2025-04-01,1,531,25.35,58,2026-07-25 00:18:31.958859
172,19,2025-05-01,1,530,33.04,127,2026-07-25 00:18:31.958869
173,19,2025-05-31,4,4296,6.01,71,2026-07-25 00:18:31.958879
174,19,2025-06-30,2,2006,7.98,339,2026-07-25 00:18:31.958891
175,20,2024-04-10,1,1445,24.85,319,2026-07-25 00:18:31.958904
176,20,2024-05-10,2,1115,15.88,39,2026-07-25 00:18:31.958915
177,20,2024-06-09,5,1392,11.97,27,2026-07-25 00:18:31.958925
178,20,2024-07-09,2,2507,29.23,78,2026-07-25 00:18:31.958936
179,20,2024-08-08,4,4905,23.5,381,2026-07-25 00:18:31.958944
180,21,2023-06-16,1,1524,25.41,190,2026-07-25 00:18:31.958956
181,21,2023-07-16,4,1552,39.44,332,2026-07-25 00:18:31.958964
182,21,2023-08-15,3,3623,11.22,449,2026-07-25 00:18:31.958974
183,21,2023-09-14,3,2822,33.72,130,2026-07-25 00:18:31.958983
184,21,2023-10-14,2,4240,7.01,463,2026-07-25 00:18:31.958991
185,22,2024-06-16,338,417456,2154.33,292,2026-07-25 00:18:31.959005
186,22,2024-07-16,204,291444,1143.09,186,2026-07-25 00:18:31.959013
187,22,2024-08-15,281,357631,1179.04,394,2026-07-25 00:18:31.959022
188,22,2024-09-14,326,313886,2260.02,298,2026-07-25 00:18:31.959031
189,22,2024-10-14,352,473913,1852.4,402,2026-07-25 00:18:31.959040
190,22,2024-11-13,342,310942,4107.09,464,2026-07-25 00:18:31.959048
191,22,2024-12-13,440,371633,1914.56,130,2026-07-25 00:18:31.959057
192,22,2025-01-12,442,235291,3957.8,210,2026-07-25 00:18:31.959067
193,22,2025-02-11,441,363414,4276.93,427,2026-07-25 00:18:31.959076
194,22,2025-03-13,199,284395,1529.64,401,2026-07-25 00:18:31.959085
195,22,2025-04-12,53,458783,1270.48,326,2026-07-25 00:18:31.959095
196,22,2025-05-12,443,423752,3560.03,372,2026-07-25 00:18:31.959104
197,22,2025-06-11,49,207997,1028.52,171,2026-07-25 00:18:31.959113
198,22,2025-07-11,299,364541,4242.97,473,2026-07-25 00:18:31.959122
199,22,2025-08-10,463,372764,3132.15,291,2026-07-25 00:18:31.959132
200,22,2025-09-09,499,363254,1690.3,170,2026-07-25 00:18:31.959141
201,22,2025-10-09,353,337746,3776.8,363,2026-07-25 00:18:31.959151
202,22,2025-11-08,407,353316,1158.15,423,2026-07-25 00:18:31.959163
203,22,2025-12-08,291,359229,1593.75,387,2026-07-25 00:18:31.959172
204,22,2026-01-07,429,380966,1127.21,443,2026-07-25 00:18:31.959182
205,22,2026-02-06,391,401691,1995.11,319,2026-07-25 00:18:31.959192
206,22,2026-03-08,51,357144,4416.23,187,2026-07-25 00:18:31.959201
207,22,2026-04-07,255,240963,1649.37,97,2026-07-25 00:18:31.959210
208,23,2025-02-24,3,4156,24.2,194,2026-07-25 00:18:31.959224
209,23,2025-03-26,5,4534,37.81,117,2026-07-25 00:18:31.959234
210,23,2025-04-25,5,3910,37.11,318,2026-07-25 00:18:31.959243
211,23,2025-05-25,2,3978,7.75,270,2026-07-25 00:18:31.959252
212,23,2025-06-24,2,2259,10.82,261,2026-07-25 00:18:31.959262
213,23,2025-07-24,4,1202,28.71,360,2026-07-25 00:18:31.959271
214,23,2025-08-23,3,4187,36.77,113,2026-07-25 00:18:31.959281
215,23,2025-09-22,3,4819,27.31,220,2026-07-25 00:18:31.959289
216,24,2023-03-20,4,27843,69.35,332,2026-07-25 00:18:31.959302
217,24,2023-04-19,9,14185,110.52,188,2026-07-25 00:18:31.959311
218,24,2023-05-19,3,25260,54.7,12,2026-07-25 00:18:31.959321
219,24,2023-06-18,20,5122,95.63,51,2026-07-25 00:18:31.959331
220,24,2023-07-18,9,6294,72.92,473,2026-07-25 00:18:31.959341
221,24,2023-08-17,8,18352,150.62,206,2026-07-25 00:18:31.959351
222,24,2023-09-16,10,17289,110.37,11,2026-07-25 00:18:31.959359
223,24,2023-10-16,24,26828,162.8,497,2026-07-25 00:18:31.959369
224,25,2023-03-10,23,24870,103.0,265,2026-07-25 00:18:31.959382
225,25,2023-04-09,15,19094,94.41,106,2026-07-25 00:18:31.959392
226,25,2023-05-09,6,13740,181.74,463,2026-07-25 00:18:31.959402
227,25,2023-06-08,8,17001,54.44,82,2026-07-25 00:18:31.959411
228,25,2023-07-08,20,27847,43.82,434,2026-07-25 00:18:31.959420
229,25,2023-08-07,21,22613,75.46,349,2026-07-25 00:18:31.959430
230,25,2023-09-06,15,10291,112.48,89,2026-07-25 00:18:31.959438
231,26,2025-09-16,54,38021,391.74,444,2026-07-25 00:18:31.959452
232,26,2025-10-16,94,72936,748.79,131,2026-07-25 00:18:31.959461
233,26,2025-11-15,93,87618,655.78,205,2026-07-25 00:18:31.959471
234,26,2025-12-15,45,112718,646.82,372,2026-07-25 00:18:31.959482
235,26,2026-01-14,78,74024,722.02,239,2026-07-25 00:18:31.959491
236,26,2026-02-13,94,44636,446.35,125,2026-07-25 00:18:31.959501
237,26,2026-03-15,44,108444,792.96,173,2026-07-25 00:18:31.959510
238,26,2026-04-14,57,54605,659.34,379,2026-07-25 00:18:31.959519
239,26,2026-05-14,66,79204,279.69,166,2026-07-25 00:18:31.959528
240,26,2026-06-13,56,65942,767.07,460,2026-07-25 00:18:31.959539
241,26,2026-07-13,93,94477,808.44,24,2026-07-25 00:18:31.959547
242,26,2026-08-12,99,30427,698.26,407,2026-07-25 00:18:31.959557
243,27,2024-10-26,1,527,31.76,24,2026-07-25 00:18:31.959570
244,27,2024-11-25,3,2230,22.01,41,2026-07-25 00:18:31.959579
245,27,2024-12-25,5,2299,16.15,231,2026-07-25 00:18:31.959588
246,28,2023-08-20,7,11254,52.49,354,2026-07-25 00:18:31.959601
247,28,2023-09-19,15,10357,96.17,342,2026-07-25 00:18:31.959610
248,28,2023-10-19,10,5158,56.51,184,2026-07-25 00:18:31.959620
249,28,2023-11-18,10,20457,66.34,418,2026-07-25 00:18:31.959630
250,28,2023-12-18,16,9718,169.88,250,2026-07-25 00:18:31.959640
251,28,2024-01-17,17,23447,154.43,409,2026-07-25 00:18:31.959649
252,28,2024-02-16,7,26724,81.19,258,2026-07-25 00:18:31.959658
253,29,2024-10-29,1,2615,28.66,157,2026-07-25 00:18:31.959670
254,29,2024-11-28,2,2795,31.17,358,2026-07-25 00:18:31.959680
255,29,2024-12-28,3,3772,18.89,455,2026-07-25 00:18:31.959690
256,29,2025-01-27,5,1517,21.46,227,2026-07-25 00:18:31.959699
257,29,2025-02-26,1,1138,31.73,397,2026-07-25 00:18:31.959709
258,30,2023-03-03,15,5619,60.84,90,2026-07-25 00:18:31.959721
259,30,2023-04-02,13,19435,81.28,204,2026-07-25 00:18:31.959731
260,30,2023-05-02,25,5574,197.83,342,2026-07-25 00:18:31.959740
261,30,2023-06-01,12,9535,75.4,284,2026-07-25 00:18:31.959749
262,30,2023-07-01,4,5674,108.06,186,2026-07-25 00:18:31.959759
263,30,2023-07-31,22,14309,136.31,190,2026-07-25 00:18:31.959768
264,30,2023-08-30,17,27459,99.66,452,2026-07-25 00:18:31.959777
265,30,2023-09-29,15,26689,69.85,425,2026-07-25 00:18:31.959786
266,30,2023-10-29,7,25417,100.39,314,2026-07-25 00:18:31.959796
267,31,2023-06-09,4,3861,20.0,14,2026-07-25 00:18:31.959808
268,31,2023-07-09,1,2586,22.21,413,2026-07-25 00:18:31.959818
269,31,2023-08-08,3,4957,11.87,341,2026-07-25 00:18:31.959827
270,31,2023-09-07,2,3047,15.57,333,2026-07-25 00:18:31.959839
271,31,2023-10-07,5,2516,37.41,154,2026-07-25 00:18:31.959848
272,32,2024-09-23,98,99561,640.62,165,2026-07-25 00:18:31.959861
273,32,2024-10-23,57,40827,620.21,491,2026-07-25 00:18:31.959871
274,32,2024-11-22,12,53839,389.12,284,2026-07-25 00:18:31.959880
275,32,2024-12-22,82,133333,614.26,85,2026-07-25 00:18:31.959889
276,32,2025-01-21,42,52634,730.06,18,2026-07-25 00:18:31.959899
277,32,2025-02-20,1,85163,477.74,418,2026-07-25 00:18:31.959908
278,32,2025-03-22,72,142627,583.48,377,2026-07-25 00:18:31.959917
279,32,2025-04-21,97,97909,595.83,124,2026-07-25 00:18:31.959926
280,32,2025-05-21,82,70760,345.1,114,2026-07-25 00:18:31.959935
281,32,2025-06-20,38,30280,757.95,11,2026-07-25 00:18:31.959945
282,33,2023-09-10,5,4226,37.48,353,2026-07-25 00:18:31.959959
283,33,2023-10-10,1,1644,21.61,491,2026-07-25 00:18:31.959968
284,33,2023-11-09,1,3088,34.38,392,2026-07-25 00:18:31.959978
285,33,2023-12-09,2,4601,14.69,220,2026-07-25 00:18:31.959987
286,33,2024-01-08,4,2950,25.2,150,2026-07-25 00:18:31.959996
287,33,2024-02-07,1,4423,13.82,138,2026-07-25 00:18:31.960006
288,33,2024-03-08,5,4518,20.66,212,2026-07-25 00:18:31.960016
289,33,2024-04-07,1,2935,7.4,25,2026-07-25 00:18:31.960025
290,34,2023-10-06,1,1381,7.15,461,2026-07-25 00:18:31.960037
291,34,2023-11-05,3,4147,5.21,395,2026-07-25 00:18:31.960046
292,34,2023-12-05,5,1307,30.27,121,2026-07-25 00:18:31.960056
293,34,2024-01-04,3,1453,33.27,220,2026-07-25 00:18:31.960065
294,34,2024-02-03,4,3740,29.72,148,2026-07-25 00:18:31.960074
295,34,2024-03-04,4,900,11.76,435,2026-07-25 00:18:31.960084
296,34,2024-04-03,4,1640,11.43,439,2026-07-25 00:18:31.960094
297,35,2025-11-06,3,1578,28.48,481,2026-07-25 00:18:31.960106
298,35,2025-12-06,2,4354,13.88,112,2026-07-25 00:18:31.960114
299,35,2026-01-05,3,3490,25.41,190,2026-07-25 00:18:31.960125
300,35,2026-02-04,2,2446,29.04,144,2026-07-25 00:18:31.960134
301,36,2023-06-17,4,1171,34.3,162,2026-07-25 00:18:31.960145
302,36,2023-07-17,2,2779,11.54,480,2026-07-25 00:18:31.960154
303,36,2023-08-16,1,1718,19.94,431,2026-07-25 00:18:31.960162
304,36,2023-09-15,2,2570,18.4,486,2026-07-25 00:18:31.960172
305,36,2023-10-15,5,3200,36.8,139,2026-07-25 00:18:31.960182
306,36,2023-11-14,1,2005,23.78,113,2026-07-25 00:18:31.960190
307,37,2023-12-12,9,26643,97.45,106,2026-07-25 00:18:31.960203
308,37,2024-01-11,13,9810,153.58,289,2026-07-25 00:18:31.960212
309,37,2024-02-10,14,8601,66.36,282,2026-07-25 00:18:31.960222
310,37,2024-03-11,1,7366,122.58,484,2026-07-25 00:18:31.960237
311,37,2024-04-10,12,10481,179.3,401,2026-07-25 00:18:31.960246
312,37,2024-05-10,15,18276,82.25,134,2026-07-25 00:18:31.960256
313,37,2024-06-09,17,10580,188.64,72,2026-07-25 00:18:31.960265
314,37,2024-07-09,15,16165,60.51,187,2026-07-25 00:18:31.960274
315,37,2024-08-08,10,14260,159.48,98,2026-07-25 00:18:31.960284
316,37,2024-09-07,16,6567,115.22,142,2026-07-25 00:18:31.960295
317,37,2024-10-07,7,19708,91.47,93,2026-07-25 00:18:31.960303
318,38,2024-06-27,21,48722,296.1,177,2026-07-25 00:18:31.960317
319,38,2024-07-27,27,126995,632.72,141,2026-07-25 00:18:31.960327
320,38,2024-08-26,83,68703,773.35,184,2026-07-25 00:18:31.960336
321,38,2024-09-25,52,134386,551.05,110,2026-07-25 00:18:31.960346
322,38,2024-10-25,23,72282,250.79,171,2026-07-25 00:18:31.960355
323,38,2024-11-24,47,62960,864.91,199,2026-07-25 00:18:31.960364
324,38,2024-12-24,72,121415,605.24,309,2026-07-25 00:18:31.960374
325,38,2025-01-23,7,36005,471.35,481,2026-07-25 00:18:31.960382
326,38,2025-02-22,11,79056,340.24,79,2026-07-25 00:18:31.960391
327,38,2025-03-24,11,137064,280.58,336,2026-07-25 00:18:31.960400
328,38,2025-04-23,72,84280,217.25,456,2026-07-25 00:18:31.960409
329,38,2025-05-23,42,58048,217.55,118,2026-07-25 00:18:31.960419
330,38,2025-06-22,77,146186,606.03,248,2026-07-25 00:18:31.960428
331,38,2025-07-22,81,99549,890.44,356,2026-07-25 00:18:31.960439
332,39,2023-12-13,6,27286,50.44,465,2026-07-25 00:18:31.960451
333,39,2024-01-12,18,23333,186.88,57,2026-07-25 00:18:31.960461
334,39,2024-02-11,24,24436,159.99,412,2026-07-25 00:18:31.960471
335,39,2024-03-12,10,22324,194.04,470,2026-07-25 00:18:31.960480
336,39,2024-04-11,17,6688,157.1,103,2026-07-25 00:18:31.960489
337,39,2024-05-11,13,6970,100.94,168,2026-07-25 00:18:31.960499
338,40,2024-05-24,12,6475,45.71,211,2026-07-25 00:18:31.960510
339,40,2024-06-23,8,16453,97.47,437,2026-07-25 00:18:31.960518
340,40,2024-07-23,17,26950,145.81,48,2026-07-25 00:18:31.960527
341,40,2024-08-22,18,6044,72.49,54,2026-07-25 00:18:31.960538
342,40,2024-09-21,18,21666,73.41,442,2026-07-25 00:18:31.960546
343,40,2024-10-21,9,21992,158.63,491,2026-07-25 00:18:31.960554
344,40,2024-11-20,21,6313,139.04,401,2026-07-25 00:18:31.960562
345,41,2024-03-09,4,3819,17.31,108,2026-07-25 00:18:31.960575
346,41,2024-04-08,1,1187,39.92,139,2026-07-25 00:18:31.960584
347,41,2024-05-08,1,4231,27.05,161,2026-07-25 00:18:31.960593
348,42,2025-04-12,4,2883,36.17,158,2026-07-25 00:18:31.960607
349,42,2025-05-12,3,1418,9.94,464,2026-07-25 00:18:31.960616
350,42,2025-06-11,1,3706,8.08,85,2026-07-25 00:18:31.960626
351,43,2024-02-10,4,14898,163.11,411,2026-07-25 00:18:31.960638
352,43,2024-03-11,23,16838,135.57,231,2026-07-25 00:18:31.960648
353,43,2024-04-10,22,10855,98.34,21,2026-07-25 00:18:31.960657
354,43,2024-05-10,16,10283,73.67,457,2026-07-25 00:18:31.960701
355,43,2024-06-09,21,8874,46.8,451,2026-07-25 00:18:31.960718
356,43,2024-07-09,9,23549,150.85,177,2026-07-25 00:18:31.960728
357,43,2024-08-08,6,13648,137.58,72,2026-07-25 00:18:31.960737
358,43,2024-09-07,3,16112,86.02,87,2026-07-25 00:18:31.960747
359,43,2024-10-07,21,22371,152.9,23,2026-07-25 00:18:31.960757
360,44,2023-03-01,1,2829,29.23,298,2026-07-25 00:18:31.960771
361,44,2023-03-31,4,2600,10.25,235,2026-07-25 00:18:31.960781
362,44,2023-04-30,1,3807,17.67,333,2026-07-25 00:18:31.960791
363,44,2023-05-30,3,4306,13.71,317,2026-07-25 00:18:31.960799
364,44,2023-06-29,3,1294,15.64,245,2026-07-25 00:18:31.960807
365,45,2024-05-02,5,3176,15.5,106,2026-07-25 00:18:31.960819
